	log2fc	p-val 
Glucose	0.653243768	0.326518995
Mannose	0.11321061	0.702549414
Hypoxanthine	-0.121990524	0.276087319
Aspartate	0.394440595	0.142021774
Lysine	0.178803153	0.18973474
Fumarate	1.101582776	0.002665504
ATP	-1.181997834	0.104145111
Alanine	0.452822162	0.033563829
Sucrose	0.126830022	0.727564205
Succinate	1.555566089	0.039402047
Glutamate	-0.669851398	0.023994311
Glutamine	-0.070676746	0.531679758
Leucine	0.339486466	0.56515044
Acetoacetate	0.690044547	0.184730578
Fructose-6-Phosphate	-0.153746532	0.554052301
Lactose	0.126830022	0.727564205
