	log2fc	p-val 
D-Malic acid	1.301169535	0.063217353
Hypoxanthine	-0.121990524	0.276087319
Mannose	0.11321061	0.702549414
Arginine	-0.090765464	0.326164235
Inosine	1.321928095	0.052712799
alpha-ketoglutarate	0.442943496	0.309423425
Succinate	1.555566089	0.039402047
Lactose	0.126830022	0.727564205
Glutamate	-0.669851398	0.023994311
Fructose-1,6Bisphosphate	-0.533873729	0.074608202
Glutathione disulfide	-0.429392792	0.210173577
CoenzymeA	-1.245306813	0.036937349
Sucrose	0.126830022	0.727564205
Acetoacetate	0.690044547	0.184730578
Fructose-6-Phosphate	-0.153746532	0.554052301
ATP	-1.181997834	0.104145111
