	log2fc	p-val 
Fructose	0.11321061	0.702549414
Inosine	1.321928095	0.052712799
Succinate	1.555566089	0.039402047
alpha-ketoglutarate	0.442943496	0.309423425
Leucine	0.339486466	0.56515044
Sucrose	0.126830022	0.727564205
Hypoxanthine	-0.121990524	0.276087319
Glutamate	-0.669851398	0.023994311
Mannose	0.11321061	0.702549414
Asparagine 	-0.1740294	0.146911661
Fumarate	1.101582776	0.002665504
Glutamine	-0.070676746	0.531679758
Acetoacetate	0.690044547	0.184730578
Valine	0.529693954	0.387801239
CoenzymeA	-1.245306813	0.036937349
Fructose-6-Phosphate	-0.153746532	0.554052301
