Gene	SRR3124700	SRR3124701	SRR3124703	SRR3124704	SRR3124705	SRR3124706	SRR3124707	SRR3124708	SRR3124710	SRR3124712	SRR3124715	SRR3124716	SRR3124717	SRR3131174	SRR3131176	SRR3131178	SRR3131180	SRR3131183	SRR3131184	SRR3131186	SRR3131188	SRR3131190	SRR3131192	SRR3131193	SRR3131196	SRR3131198	SRR3131200	SRR3131202	SRR3131205
ETS1-1	3.5236066880574004	3.5236066880574004	4.603291316450904	2.8994004060215004	4.4314345936299535	8.056476510665892	5.992552359091455	5.505269729727541	4.5254686938241555	3.3304551213520375	6.624391117118731	4.5254686938241555	3.181823476589524	4.418534781828873	4.322913157280041	7.889413666890618	5.989244031558689	3.4296909618416516	3.532489237537762	3.1738460126963823	5.403304302839852	4.677605205462388	4.96835028938277	3.331693921676377	6.174424764100635	6.572830171357219	5.103148485932367	4.5552769872289876	2.957006979066355
ETS2-1	0.4386636308947014	0.46605496690945786	0.6282870540334032	0.5490332218983595	0.47454343150280187	0.7700679604454129	0.8053645952095057	0.6060420982838138	0.5605994589393468	0.5240515001488368	0.7607115270035906	0.5277041886583345	0.4139128686575617	0.5436766210011217	0.48444264554332894	0.7918997888802307	0.8060042488683634	0.4341484091419673	0.49060321102081594	0.4053884074136771	0.6078507154558266	0.5685180611458917	0.4512557923835181	0.5514640123641901	0.8903732244501044	0.7704130611401838	0.6596452808897406	0.61935942895501	0.534658418147706
HRA1	0.5998147956284894	0.6340445096882371	0.7011906235199086	0.6073936240779274	0.6996539401835988	0.677376750408216	0.7175071804263355	0.6110788483184973	0.5795662975774694	0.6447420160585566	0.6689929021886818	0.7033342161334646	0.6869215193599756	0.6942986406283591	0.6906777922172267	0.6755341155140033	0.7033342161334646	0.5977649761232726	0.6443474910865785	0.6798872843417263	0.606463475652012	0.608878087870256	0.6781648483033897	0.6516913562099393	0.6308077725710624	0.6727359236224265	0.6938952080055778	0.6851294513494717	0.6250017472885552
ICR1	0.938424117639909	1.1844796356705618	0.8800649443483295	2.0198894134539884	0.9913098686142686	1.66106313507831	0.9241271285312774	0.9164160080024946	1.4463131744757414	1.582120831428555	1.028629585526096	1.2341083746935615	0.9942574844284441	1.2392968370927473	0.9899569520671597	1.6606265437962753	0.9164160080024946	0.9395466073822123	1.1956765685656494	0.9975574700424501	0.9127122965571399	1.48373483109924	0.9433758537121245	1.5936077918574738	0.8653875869893902	1.0329997610471742	1.7411013528805324	0.8827571949960991	2.022945143078334
IRT1	0.9830928534222654	2.144890334417794	0.7965395780524327	1.6520974455472406	0.8581792411452318	1.793387141377927	0.9102550743406389	0.8951537752034987	1.5521130444213624	1.8932783456611735	1.0578319801547438	1.7043230581825686	1.0236266344324487	1.6572391639895652	0.8404191427597943	1.7407856438486111	0.8991250833575694	0.9658362741711506	2.1156705841348367	1.0169543654888078	0.8882622023203187	1.5531628087380553	1.0745744833237936	1.8558200907599065	0.9594047601720374	1.0552828069732747	1.2635261249125396	0.7839097186786672	1.6355911414524873
ITS1-1	1.3383906773859424	1.5211888973739782	1.9444512945110146	1.4084543011877448	1.8779357759706587	5.0627934665762355	2.3178566481099607	1.943618278400735	2.0582889993931075	1.4972814865525366	2.0911539790145577	2.1093788647808096	1.3568361688148305	2.0805897911967213	1.8747894065030453	4.885386457456268	2.2924337963660157	1.3551357583147587	1.5349268826877531	1.3597232685974947	1.9742856784815819	2.082836228053722	1.9072062666830354	1.5035250345058322	2.0854344002492464	2.098243135262806	2.549908690330857	1.9181006387094106	1.4326650351474521
ITS2-1	2.139319502841997	3.884587446503864	2.6893174363045516	1.8809330215793394	2.9430904350924294	6.557382184727108	3.3154259110045925	2.9009289654431822	3.4473028895817546	2.72812706698633	3.2945497154551835	4.3653137888934594	1.9608064618338346	4.292977271303842	2.9806295482895804	6.420164204358091	3.329659069908829	2.127757296421675	3.8914082791385933	1.986910646198095	2.9662651880583235	3.437968484610089	3.2053267006109003	2.732793315168044	3.3786125433699237	3.3119586178462335	3.58683793637452	2.7010327540567083	1.894266030094218
LSR1	0.9376233609444846	1.2392968370927473	1.0534741343682374	1.1673978544482004	1.0509919723455052	1.3012237171883148	0.9881182489726661	1.0220755989228816	1.0864968230561762	1.3027691159001593	0.9443910617240242	1.2813366953433494	0.8160109522277822	1.301956297413646	1.0585615009397906	1.3334799849687697	0.9883835186432552	0.9515734969525573	1.2593834244333681	0.8193392526321208	1.0295505137608776	1.132730180124974	1.0540799445245768	1.340722142523461	1.1356735830608384	0.9515734969525573	1.0774342233558614	1.0506206904170519	1.2078478808403994
NME1	0.7662448835381191	0.6546719032906024	0.7613723752648174	0.5446800703115714	0.7548397893831248	0.5957231184850167	0.6843268114687806	0.7436679675413722	0.5784979869452672	0.6664267082746863	0.6330048461543683	0.5697006822269474	0.6060420982838138	0.5706480231546344	0.7412483470140416	0.5987823369696342	0.6860824062348252	0.7640187107291017	0.65791213700214	0.5903219836185399	0.7450986489303341	0.5784979869452672	0.8035255052839377	0.6684648275706963	0.8011863337901299	0.633498935428027	0.557694492414548	0.7617928841902897	0.5453153045399664
PWR1	0.02987692259472706	0.042884757859460144	0.024498201318067042	0.04723655768340909	0.03483376938860426	0.039800583937445164	0.020873150107356537	0.027201931207815836	0.036687981593559946	0.05655277956454841	0.02808323346422211	0.03483376938860426	0.02360312629463751	0.024050849330689603	0.021782496098734526	0.02987692259472706	0.0152767922473966	0.020420105507506916	0.0325977492978936	0.016201999090225	0.019968631817579865	0.027642582336018982	0.018573404878981858	0.0437375229918197	0.022704136813364514	0.023155222641250334	0.03619875080215407	0.016680719719038697	0.03572523150473164
Q0010	0.02987692259472706	0.042884757859460144	0.024498201318067042	0.04723655768340909	0.03483376938860426	0.039800583937445164	0.020873150107356537	0.027201931207815836	0.036687981593559946	0.05655277956454841	0.02808323346422211	0.03483376938860426	0.02360312629463751	0.13430828620648913	0.12362716112535121	0.02987692259472706	0.0152767922473966	0.020420105507506916	0.0325977492978936	0.016201999090225	0.019968631817579865	0.027642582336018982	0.018573404878981858	0.0437375229918197	0.022704136813364514	0.023155222641250334	0.03619875080215407	0.016680719719038697	0.03572523150473164
Q0017	0.02987692259472706	0.042884757859460144	0.024498201318067042	0.18235940476747695	0.14933238566634677	0.039800583937445164	0.020873150107356537	0.027201931207815836	0.036687981593559946	0.05655277956454841	0.02808323346422211	0.03483376938860426	0.02360312629463751	0.1789035361593941	0.12277209466402564	0.02987692259472706	0.0152767922473966	0.020420105507506916	0.0325977492978936	0.016201999090225	0.019968631817579865	0.027642582336018982	0.018573404878981858	0.0437375229918197	0.022704136813364514	0.023155222641250334	0.03619875080215407	0.016680719719038697	0.16767766916029994
Q0020	0.7456878211380533	0.6381422854777505	0.650158489181276	0.927122541981237	0.6679328224002313	0.8049924842910394	0.5701673821096738	0.33344452374381367	0.6959187167058312	0.8457057700773368	0.5100252448678096	0.831389974392703	0.4923931415807441	0.6619536542580173	0.49177256808899317	0.5961711833075773	0.3791600563319566	0.6996539401835988	0.47667280714279003	0.36032544767482366	0.21429884884847547	0.5304464705017393	0.1969933105746352	0.6377252827176474	0.20199795509091503	0.3415689701232655	0.7118721898738949	0.48314195760900575	0.6935486212995635
Q0032	0.02987692259472706	0.042884757859460144	0.024498201318067042	0.04723655768340909	0.03483376938860426	0.039800583937445164	0.020873150107356537	0.027201931207815836	0.036687981593559946	0.05655277956454841	0.02808323346422211	0.03483376938860426	0.02360312629463751	0.024050849330689603	0.021782496098734526	0.02987692259472706	0.0152767922473966	0.020420105507506916	0.0325977492978936	0.016201999090225	0.019968631817579865	0.027642582336018982	0.018573404878981858	0.0437375229918197	0.022704136813364514	0.023155222641250334	0.03619875080215407	0.016680719719038697	0.03572523150473164
Q0045	0.27279799624981266	0.301858937033238	0.23937424086159717	0.3890190770169831	0.27446821231692947	0.42243304982170854	0.22038898039653138	0.13056399026508578	0.036687981593559946	0.2091087093699222	0.1315714109498392	0.42969532052105464	0.301858937033238	0.4686967466751732	0.2978374008712847	0.41625469991381825	0.24198232101774375	0.4804859784643469	0.34310138635996845	0.28926665815015795	0.10666002717647864	0.027642582336018982	0.1315714109498392	0.18323802797231542	0.022704136813364514	0.15970639612429635	0.5178258176887418	0.29865439759317475	0.5061797386773601
Q0050	0.7717836856633524	0.43336761031276416	0.5621950220883309	0.7744499811378334	0.4461788035765666	0.6226817314806106	0.33678970631092847	0.19780123547434766	0.27776229686666665	0.49305498645995616	0.24198232101774375	0.671380232196181	0.44051266438538467	0.5366827304640422	0.30853219322205705	0.48784743456352364	0.23689834990677	0.6808264437513107	0.314488435443962	0.3118345931757945	0.14845318368188898	0.1969933105746352	0.018573404878981858	0.37164851790994813	0.13603884044787912	0.17273114192088365	0.6131824478733482	0.4355832268470949	0.6217723579214387
Q0055	0.6877504396333629	0.4626138975914746	0.5537454882743363	0.7822860056713643	0.49898499032254484	0.5514640123641901	0.4053884074136771	0.027201931207815836	0.3232919052029098	0.39893599805116403	0.270198486933949	0.6664267082746863	0.4635904556217429	0.5775789688553062	0.372416159770899	0.4596251200645816	0.3159814403986993	0.6217723579214387	0.3678323817436593	0.35100810550857825	0.019968631817579865	0.26841398788083826	0.018573404878981858	0.355504817933152	0.10833521771768795	0.1969933105746352	0.6507430280222217	0.4707279028120907	0.6624601146568991
Q0060	0.2752891334505877	0.24979341550257567	0.13338262791850947	0.04723655768340909	0.16937883593771885	0.039800583937445164	0.020873150107356537	0.027201931207815836	0.036687981593559946	0.05655277956454841	0.1969933105746352	0.03483376938860426	0.02360312629463751	0.024050849330689603	0.10331333412668639	0.02987692259472706	0.0152767922473966	0.18235940476747695	0.15538596178415795	0.016201999090225	0.019968631817579865	0.027642582336018982	0.018573404878981858	0.0437375229918197	0.022704136813364514	0.12453347412658075	0.2351965095385567	0.09492111191535677	0.03572523150473164
Q0065	0.45790906003266685	0.042884757859460144	0.17795800863226827	0.25662980673829683	0.03483376938860426	0.30946238935626597	0.020873150107356537	0.027201931207815836	0.23135405751180582	0.2506330794388326	0.02808323346422211	0.18323802797231542	0.2377674912671586	0.11771471889837985	0.021782496098734526	0.2028463312656251	0.0152767922473966	0.2884592020334769	0.0325977492978936	0.14933238566634677	0.019968631817579865	0.17356206079677466	0.018573404878981858	0.17795800863226827	0.10748600221306437	0.023155222641250334	0.25745313646075263	0.11327535634084275	0.13518834136242275
Q0070	0.02987692259472706	0.042884757859460144	0.024498201318067042	0.04723655768340909	0.03483376938860426	0.039800583937445164	0.020873150107356537	0.027201931207815836	0.036687981593559946	0.2489416648925268	0.02808323346422211	0.03483376938860426	0.02360312629463751	0.1456912442174261	0.13518834136242275	0.216950473702504	0.0152767922473966	0.21523110138214394	0.0325977492978936	0.016201999090225	0.019968631817579865	0.027642582336018982	0.018573404878981858	0.23937424086159717	0.022704136813364514	0.023155222641250334	0.03619875080215407	0.016680719719038697	0.18586035592533104
Q0075	0.02987692259472706	0.042884757859460144	0.024498201318067042	0.04723655768340909	0.03483376938860426	0.039800583937445164	0.020873150107356537	0.027201931207815836	0.036687981593559946	0.05655277956454841	0.02808323346422211	0.03483376938860426	0.02360312629463751	0.22038898039653138	0.17105751870922406	0.16767766916029994	0.0152767922473966	0.31975824705013556	0.23330297553128873	0.1271117718090195	0.019968631817579865	0.027642582336018982	0.018573404878981858	0.18926521484097947	0.1271117718090195	0.023155222641250334	0.1840877718907294	0.12190384823502498	0.13252328438639738
Q0080	0.02987692259472706	0.042884757859460144	0.024498201318067042	0.04723655768340909	0.03483376938860426	0.039800583937445164	0.020873150107356537	0.027201931207815836	0.036687981593559946	0.05655277956454841	0.02808323346422211	0.03483376938860426	0.02360312629463751	0.024050849330689603	0.021782496098734526	0.02987692259472706	0.0152767922473966	0.020420105507506916	0.0325977492978936	0.016201999090225	0.019968631817579865	0.027642582336018982	0.018573404878981858	0.0437375229918197	0.022704136813364514	0.023155222641250334	0.03619875080215407	0.016680719719038697	0.03572523150473164
